,Date,Stocks
0,2019-06-07,FLC|HCD|CEO|DLG|QCG|VIB|NVB|HBC|VPB|GAS|BSR|PVD|LDG|LPB|DRC|VND|HQC|AMD|CTD|SSI|TCB|CTG|SJF|DIG|TCM|VNM|DRH|BID|STB|MST|ASM|OIL|HCM|OGC|NLG|VHM|HUT|HAG
0,2019-06-10,FLC|HCD|CEO|DLG|QCG|VIB|NVB|HBC|VPB|SBT|GAS|BSR|PVD|PVS|LDG|LPB|DRC|VND|AMD|CTD|TCB|CTG|SJF|DIG|TCM|VNM|DRH|BID|MST|ASM|OIL|HCM|OGC|NLG|VHM|HUT|HAG
0,2019-06-11,FLC|DCM|HCD|CEO|QCG|VIB|NVB|HBC|VPB|SBT|PLX|GAS|BSR|PVD|PVS|LDG|LPB|DRC|VND|HPG|AMD|CTD|TCB|CTG|SJF|DIG|TTF|ACB|TCM|VNM|PNJ|DRH|MST|ASM|OIL|HCM|OGC|NLG|VHM|HUT|HAG
0,2019-06-12,FLC|DCM|HCD|QCG|VIB|HBC|VPB|SBT|PLX|MBB|GAS|BSR|PVD|PVS|LDG|LPB|DRC|HDC|HPG|CTD|TCB|DGW|CTG|SJF|DIG|TTF|ACB|TCM|HSG|VNM|PNJ|DRH|MST|ASM|OIL|IDI|HCM|OGC|NLG|VHM|HUT|HAG
0,2019-06-13,FLC|DCM|QCG|VIB|HBC|SBT|DRC|HDC|HPG|CTD|TCB|DGW|SJF|DIG|ACB|HSG|VNM|PNJ|MST|ASM|OIL|IDI|KSB|OGC|VHM|HUT|HAG
0,2019-06-14,DCM|QCG|VIB|HBC|SBT|DPM|HDC|HPG|CTD|DGW|SJF|HSG|VNM|PNJ|MST|ASM|OIL|IDI|OGC|VHM|HUT
0,2019-06-17,DCM|QCG|VIB|HBC|SBT|DPM|HPG|CTD|DGW|SJF|HSG|VNM|PNJ|MST|ASM|OIL|IDI|VHM
0,2019-06-18,DCM|JVC|QCG|VIB|HBC|SBT|DPM|CTD|DGW|ITA|VNM|PNJ|MST|ASM|OIL|IDI|VHM
0,2019-06-19,DCM|QCG|VIB|HBC|SBT|DPM|CTD|DGW|ITA|VNM|PNJ|TTB|MST|ASM|OIL|IDI|VHM
0,2019-06-20,DCM|QCG|VIB|HBC|SBT|DPM|CTD|DGW|ITA|VNM|PNJ|TTB|MST|ASM|OIL|IDI|VHM
0,2019-06-21,DCM|QCG|HBC|DPM|CTD|DGW|ITA|VNM|PNJ|TTB|MST|ASM|OIL|IDI|VHM
0,2019-06-24,DCM|QCG|HBC|MSN|DPM|CTD|DGW|ITA|VNM|PNJ|TTB|NVL|MST|ASM|OIL|IDI|VHM
