Date,Sell,Buy,BuyMore
2020-03-05,PHR|VIB|MBB|TCB|TNI|FPT|PVX|STB|ASM|KSB|HAR|OGC|EIB|HUT,DXG|QCG|BSR|LPB|MBG|CTD|SHB|DIG|NLG|HVN,TIG|FCN|CII|NVB|MSN|POW|PVD|ROS|MBG|SSI|DGW|SJF|TTF|TTB|DBC|OIL|HCM|HVN|APG
2020-03-04,PDR|PHR|VIB|TCB|TNI|ACB|FPT|ASM|OGC|NLG|HUT,QCG|HHS|LPB|CTD|SHB|STB|KSB,FLC|DCM|DXG|CEO|DLG|HBC|AAA|MBB|LDG|VND|TNG|HDB|KBC|ITA|DIG|PVX|NVL|TSC|HAG
2020-03-03,TPB|VIB|TCB|CTG|ACB|FPT|ASM|IDI|NLG,PHR|QCG|SHS|LPB|CTD|SHB|DRH|STB|KSB,ART|PHR|DPM|BSR|HQC|CTD|TCB|TNI|KLF|MST|HAR|OGC|HUT
2020-03-02,TIG|JVC|FRT|CTG|FPT|MST|IDI,SHS|SHB|DRH|STB|KSB,PDR|HAI|VIB|HHS|AMD|CTG|ACB|ASM|NLG
2020-03-01,,,
2020-02-29,,,
2020-02-28,TIG|JVC|VPB|SBT|FRT|NKG|VNM|FPT|MST|EIB,SHB|DRH|KSB,TPB|SHS|LPB|IDI|EIB
2020-02-27,TIG|JVC|PHR|NVB|NKG,SHB|DRH,QCG|VPB|VNM|FPT|STB|MST|KSB
2020-02-26,BVH|TIG|PHR|VIC|HCD|VIB|NVB|MSN|VPB|SBT|AAA|NKG|VNM|TTB|PVX|KSB,FRT,SHB
2020-02-25,BVH|ART|FCN|DCM|PHR|VIC|HCD|SCR|QCG|VIB|LMH|HBC|MSN|VPB|SBT|POW|DPM|AAA|MBG|HQC|MWG|AMD|ITA|TTF|KLF|HSG|NKG|PNJ|TTB|PVX|MST|OIL|KSB|HAR,TIG|FRT|VNM,JVC|NVB
2020-02-24,BVH|ART|FLC|HAI|FCN|DCM|GEX|HCD|CEO|SCR|DLG|VGI|QCG|VIB|REE|LMH|HBC|VPB|SBT|POW|DPM|HHS|PVS|LDG|DRC|HDC|MBG|HQC|MWG|AMD|CTD|TCB|KBC|ITA|SJF|DIG|TTF|KLF|ACB|HSG|VNM|FIT|PNJ|FPT|PVX|DBC|MST|ASM|OIL|IDI|KSB|HAR|OGC|HUT,PHR|MSN|FRT,VIC
2020-02-23,,,
2020-02-22,,,
2020-02-21,ART|FLC|PDR|CEO|SCR|DLG|TPB|REE|LMH|PVT|MBB|HHS|LDG|DRC|VCB|AMD|CTD|TCB|DGW|GTN|DIG|ACB|FIT|FPT|BID|PVX|DBC|TDH|TSC|HCM|OGC|HUT|HAG,PHR|MSN|VPB|MBG|MWG|FRT|KSB,BVH|GEX|PVS|KBC|VNM
2020-02-20,PDR|CEO|TPB|PVT|PLX|MBB|HHS|BSR|PVD|LDG|LPB|VND|TNG|CTD|TCB|DGW|SHB|GTN|SJF|ACB|FIT|BID|STB|TDH|TSC|HCM|OGC|HUT,PHR|VPB|SBT|MWG|PNJ|FPT|KSB,HCD|LMH|MSN|DRC|KLF|NKG|TTB|PVX|OIL
2020-02-19,PDR|FCN|DCM|DXG|TPB|VIB|REE|HBC|AAA|PVT|PLX|MBB|SHS|GAS|BSR|PVD|LPB|VND|TNG|VCB|SSI|FRT|SHB|GTN|ACB|TCM|HSG|NKG|FIT|BID|STB|TDH|TSC|HCM|OGC|NLG|VHM,PHR|VGI|VPB|SBT|MWG|CTD|PNJ|FPT|DBC|KSB,HAI|HQC|HUT|HAG
2020-02-18,ART|PDR|HAI|FCN|DXG|HCD|VIB|POW|DPM|AAA|PLX|SHS|GAS|BSR|PVD|ROS|TNG|SSI|FRT|KBC|ITA|KLF|TCM|NKG|TCH|PNJ|NVL|TSC|VRE|ASM|OIL|IDI|NLG|VHM,PHR|TPB|VPB|CTD|TCB|DGW|GTN|ACB|FPT|DBC|KSB,SCR|MWG|VCB|HSG|BID
2020-02-17,ART|HAI|FCN|DXG|PHR|HCD|QCG|LMH|HBC|MSN|POW|DPM|AAA|SHS|BSR|PVD|PVS|ROS|DRC|VND|HQC|TNG|MWG|VCB|SSI|KBC|ITA|TNI|KLF|TCM|NKG|PNJ|TTB|NVL|VJC|ASM|OIL|IDI|HAR|NLG|HUT|HVN|HAG,VGI|VIB|VPB|SBT|GAS|MBG|CTD|TCB|DGW|FRT|GTN|ACB|FIT|KSB,PDR|LDG
2020-02-16,,,
2020-02-15,,,
2020-02-14,LMH|MSN|PVD|HQC|HDB|CTG|TNI|KLF|TTB|NVL|VJC|HUT|HAG,PHR|VIB|REE|VPB|SBT|GAS|MBG|TNG|CTD|TCB|DGW|GTN|DIG|ACB|TCM|FIT|FPT|NLG,TPB|LPB|MWG|VCB|SJF|PNJ|OGC|VHM
2020-02-13,BVH|FCN|CEO|DLG|LMH|PVT|GAS|PVS|HDB|SSI|TNI|VNM|TTB|VHM|HUT|HVN|APG|HAG,PHR|VGI|REE|VPB|SBT|PLX|GAS|ROS|HDC|MBG|TNG|CTD|DGW|GTN|DIG|ACB|TCM|FIT|FPT|MST|KSB,VIB|SHB|ITA|NVL|ASM
2020-02-12,BVH|FLC|CEO|SCR|DLG|DPM|PVT|PLX|MBB|SHS|GAS|PVD|PVS|LDG|DRC|HQC|TNG|VCB|HDB|AMD|SSI|FRT|GTN|TNI|KLF|NKG|VNM|TTB|DBC|TDH|TSC|VJC|VRE|NLG|VHM|HUT|HVN|APG|HAG,PHR|VGI|SBT|HDC|MBG|TNG|CTD|DGW|ACB|FPT,FCN|QCG|MSN|POW|BSR|ROS|VND|TCM|FIT|OIL|IDI|HCM
